Name,ID,Procurement number,Type,WS_Type,Location,vegetation_min,vegetation_max,vegetation_mean,vegetation_stddev,terrain_min,terrain_max,terrain_mean,terrain_stddev,sky_equisolid_min,sky_equisolid_max,sky_equisolid_mean,sky_equisolid_stddev,sky_uppr_ortho_min,sky_uppr_ortho_max,sky_uppr_ortho_mean,sky_uppr_ortho_stddev,svf_tcm_min,svf_tcm_max,svf_tcm_mean,svf_tcm_stddev,other_min,other_max,other_mean,other_stddev,road_sidewalk_min,road_sidewalk_max,road_sidewalk_mean,road_sidewalk_stddev,building_wall_min,building_wall_max,building_wall_mean,building_wall_stddev
1 Lamp post – CP2A in front E3A,1,76,Weather station,Ground,Lamp post – CP2A in front E3A,0.025073,0.74317,0.274723,0.132129,0.001153,0.317822,0.078374,0.068858,0.018818,0.348434,0.193369,0.087974,0,0.778814,0.458143,0.197064,0.199486,0.955722,0.592816,0.133837,0.010057,0.302624,0.106564,0.039171,0,0.394425,0.23893,0.100179,0.000133,0.52298,0.109158,0.093722
3 Lamp post – in between E2-E1A,3,62,Weather station,Ground,Lamp post – in between E2-E1A,0.017344,0.393225,0.097318,0.073719,0.000011,0.136764,0.041837,0.037184,0.058961,0.309014,0.191836,0.057848,0,0.701215,0.365817,0.171846,0.008693,0.734982,0.377986,0.17133,0.010071,0.63405,0.134308,0.093707,0,0.382096,0.148471,0.11601,0.023873,0.842872,0.395167,0.172789
4 Railing - E1 level 2,4,3,Weather station,Ground,Railing - E1 level 2,0.000794,0.511712,0.106681,0.110387,0,0.12853,0.030134,0.033201,0.006158,0.309014,0.186313,0.066364,0,0.759555,0.396986,0.15635,0.008693,0.768393,0.424298,0.140274,0.010071,0.467527,0.117015,0.069019,0,0.382096,0.19027,0.104275,0.075964,0.842872,0.377313,0.175675
5 Railing - next to EW1,5,75,Weather station,Ground,Railing - next to EW1,0.000721,0.511712,0.15826,0.140573,0,0.069359,0.013004,0.016256,0.006158,0.31402,0.166973,0.073965,0.015644,0.75056,0.380955,0.151935,0.119211,0.752882,0.42411,0.135626,0.001218,0.259272,0.11987,0.052888,0,0.373252,0.151918,0.117559,0.093846,0.82999,0.394344,0.173121
7 Column - shelter next to E8,7,61,Weather station,Ground,Column - shelter next to E8,0.016476,0.434261,0.162541,0.111566,0,0.138925,0.03052,0.025204,0.046691,0.249027,0.140368,0.055335,0.123307,0.521829,0.350026,0.092872,0.275057,0.632875,0.414774,0.073495,0.002449,0.242934,0.105195,0.049706,0,0.375804,0.258244,0.076549,0.050592,0.64479,0.303376,0.104105
8 Lamp post – U-Turn in front of LKCNH Museum,8,29,Weather station,Ground,Lamp post – U-Turn in front of LKCNH Museum,0.099195,0.674656,0.448136,0.125175,0.002897,0.250665,0.101945,0.05988,0.000574,0.26015,0.085268,0.060743,0.001094,0.768227,0.243489,0.183641,0.348724,0.81222,0.567249,0.080628,0.013387,0.239367,0.101812,0.05046,0.00437,0.331313,0.169669,0.083089,0.000345,0.403685,0.09317,0.098146
9 Lamp post – roundabout YIH,9,25,Weather station,Ground,Lamp post – roundabout YIH,0.192662,0.709809,0.432228,0.083017,0.00119,0.250035,0.120787,0.043935,0.002786,0.252736,0.10721,0.059748,0.00327,0.770418,0.307165,0.194097,0.243614,0.816054,0.546525,0.11573,0.005907,0.688082,0.101281,0.076598,0.000025,0.338116,0.170936,0.079332,0,0.432298,0.067559,0.072531
10 Lamp post - bus stop NUS IT,10,11,Weather station,Ground,Lamp post - bus stop NUS IT,0.094356,0.599533,0.341218,0.107572,0.00138,0.364248,0.090856,0.064943,0.011626,0.330315,0.162469,0.071839,0.02532,0.762583,0.430861,0.167052,0.176503,0.796568,0.577172,0.120601,0.002878,0.48715,0.115238,0.062904,0,0.350336,0.154221,0.108753,0.000007,0.465845,0.135998,0.117898
11 Column - AS8 / bus stop Central Library,11,6,Weather station,Ground,Column - AS8 / bus stop Central Library,0.033298,0.651279,0.336763,0.151559,0,0.364333,0.066543,0.07773,0.000135,0.28558,0.113715,0.057181,0,0.652069,0.308295,0.148078,0.007122,0.760783,0.462225,0.161446,0.000988,0.362475,0.110208,0.06242,0,0.408765,0.173933,0.12049,0.000265,0.819479,0.201805,0.159261
13 Lamp post – CP14 in front of AS5,13,48,Weather station,Ground,Lamp post – CP14 in front of AS5,0.140386,0.538474,0.365258,0.08492,0.005274,0.233745,0.090111,0.061406,0.007082,0.329552,0.148395,0.07088,0.010734,0.74529,0.381767,0.194116,0.311981,0.824956,0.589637,0.127089,0.002203,0.258469,0.101688,0.059445,0,0.361424,0.134977,0.117949,0.000009,0.51181,0.159571,0.122289
